Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
Bay,,1994-01-03,1.3,11.7,7.3,0.4,0.4,5.9,8,46.4,11:00,,,,8,1994
Bay,,1994-01-31,1.5,12,7.4,0.2,0.35,3,2.6,36.68,11:30,,,,2.6,1994
Bay,,1994-02-07,1,10.5,7.2,0.25,0.6,5.9,7.6,45.68,9:45,,,,7.6,1994
Bay,,1994-02-23,1,10.1,7.4,0.35,0.5,10,2.7,36.86,N/A,,,,2.7,1994
Bay,,1994-02-28,1,12.6,7.2,0.2,0.4,1.6,0,32,10:30,,,,0,1994
Bay,,1994-03-07,1,9.9,7.1,0.2,0.9,9.7,15.2,59.36,10:00,,,,15.2,1994
Bay,,1994-03-14,0.5,10.4,7.2,0.25,0.75,9.8,10.1,50.18,11:00,,,,10.1,1994
Bay,,1994-03-28,1,9.2,7.1,0.15,0.95,16.1,22.1,71.78,9:50,,,,22.1,1994
Bay,,1994-04-04,1,9.2,7.2,0.25,0.75,15,13.5,56.3,10:00,,,,13.5,1994
Bay,,1994-04-11,1,8.6,7.3,0.2,0.75,15.7,13,55.4,10:00,,,,13,1994
Bay,,1994-04-18,1,8.8,7.6,0.2,0.7,17.5,16.6,61.88,10:30,,,,16.6,1994
Bay,,1994-04-25,1,10,7.9,0.2,0.5,19.3,22.1,71.78,11:00,,,,22.1,1994
Bay,,1994-05-02,1.3,9.8,7.5,0.2,0.65,16.1,13,55.4,10:30,,,,13,1994
Bay,,1994-05-09,1,10.1,7.9,0.25,0.75,18.8,19.5,67.1,10:45,,,,19.5,1994
Bay,,1994-05-16,1,8.2,7.8,0.25,0.8,22.1,22.3,72.14,10:00,,,,22.3,1994
Bay,,1994-05-23,1,10.8,9.1,0.05,0.05,21.7,24.3,75.74,11:00,,,,24.3,1994
Bay,,1994-05-30,1,8.7,8.5,0.35,0.8,22.3,22.7,72.86,N/A,,,,22.7,1994
Bay,,1994-06-06,1,9.4,8.6,0.35,0.8,23.8,25.7,78.26,11:00,,,,25.7,1994
Bay,,1994-06-13,1.2,10.4,9,0.35,0.8,27.9,26.9,80.42,10:45,,,,26.9,1994
Bay,,1994-06-20,1.5,9.8,9,0.35,0.7,29.5,30.5,86.9,10:15,,,,30.5,1994
Bay,,1994-06-27,1.5,7.3,8.1,0.25,1.2,25.5,27.9,82.22,10:15,,,,27.9,1994
Bay,,1994-07-03,2,10.7,9,0.4,0.9,28.5,28,82.4,10:40,,,,28,1994
Bay,,1994-06-25,2,11,9.4,0.5,0.9,30.5,28.5,83.3,10:30,,,,28.5,1994
Bay,,1994-08-01,2,10.7,9.2,0.45,0.75,29,25.5,77.9,N/A,,,,25.5,1994
Bay,,1994-08-08,2,10.2,9.2,0.4,0.55,22,21.5,70.7,10:30,,,,21.5,1994
Bay,,1994-08-15,2.3,6.9,8.8,0.45,0.9,24.5,20,68,10:30,,,,20,1994
Bay,,1994-08-22,2,9.1,9.1,0.45,0.9,27,24.5,76.1,10:30,,,,24.5,1994
Bay,,1994-08-29,2.3,9.8,9.3,0.45,0.75,27,27,80.6,10:45,,,,27,1994
Bay,,1994-09-05,2.5,8.6,8.5,0.2,1.2,17,17,62.6,10:00,,,,17,1994
Bay,,1994-09-12,2.5,7.9,8.4,0.35,0.6,21,19,66.2,10:30,,,,19,1994
Bay,,1994-09-19,2.5,8.2,8.1,0.45,0.6,20.5,21.5,70.7,10:30,,,,21.5,1994
Bay,,1994-09-26,2.25,6.9,8.1,0.45,0.8,23,23,73.4,10:15,,,,23,1994
Bay,,1994-10-10,2.5,8.4,8.1,0.45,0.5,17,17,62.6,10:30,,,,17,1994
Bay,,1994-10-24,2.5,7.4,7.6,0.35,0.85,18,19,66.2,10:20,,,,19,1994
Bay,,1994-11-07,2.5,9,7.3,0.2,0.5,15,15,59,10:00,,,,15,1994
Bay,,1994-11-28,2.8,9.4,7.7,0.25,0.65,13,17.5,63.5,10:30,,,,17.5,1994
Bay,,1994-12-12,2.5,11.4,6.9,0.35,0.4,5,5,41,11:00,,,,5,1994
Bay,,1994-12-29,3,10.4,6.9,0.15,0.4,8,9.5,49.1,11:00,,,,9.5,1994
Bay,,1989-05-11,,,7.5,0.3,0.9,17,,,0:00,John Phillips,,,-17.77777778,1989
Bay,,1989-05-18,,12,7.5,0.2,0.6,17.5,,68.9,21:36,John Phillips,,,20.5,1989
Bay,,1989-05-25,,,8,0.4,0.8,23,,77,0:00,John Phillips,,,25,1989
Bay,,1989-06-01,,12,8,0.4,0.9,25.5,,84.2,4:48,John Phillips,,,29,1989
Bay,,1989-07-11,,,8.5,0.3,0.9,28.5,,82.4,9:36,John Phillips,,,28,1989
Bay,,1989-07-20,,1.6,9,0.3,0.9,30,,90.5,12:00,John Phillips,,,32.5,1989
Bay,,1989-07-27,,6.2,9,0.3,0.8,27,,80.6,14:24,John Phillips,,,27,1989
Bay,,1989-08-03,,5.8,9.5,0.2,0.7,25,,82.4,9:36,John Phillips,,,28,1989
Bay,,1989-08-10,,3.2,9,0.2,0.3,21.5,,72.5,12:00,John Phillips,,,22.5,1989
Bay,,1989-08-17,,7.3,9,0.2,0.8,28,,84.2,4:48,John Phillips,,,29,1989
Bay,,1989-08-31,,7.1,9,0.2,0.8,28,,82.4,9:36,John Phillips,,,28,1989
Bay,,1989-09-14,,6,7.5,0.3,0.9,26,,78.8,19:12,John Phillips,,,26,1989
